Date,Open,High,Low,Close,Volume,Adjusted,AssetSymbol,DataSource
2016-09-01,106.139999,106.800003,105.620003,106.730003,26701500,105.726441,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-09-02,107.699997,108.0,106.82,107.730003,26802500,106.717038,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-09-06,107.900002,108.300003,107.510002,107.699997,26880400,106.687314,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-09-07,107.830002,108.760002,107.07,108.360001,42364300,107.341112,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-09-08,107.25,107.269997,105.239998,105.519997,53002000,104.527812,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-09-09,104.639999,105.720001,103.129997,103.129997,46557000,102.160285,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-09-12,102.650002,105.720001,102.529999,105.440002,45292800,104.44857,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-09-13,107.510002,108.790001,107.239998,107.949997,62176200,106.934963,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-09-14,108.730003,113.029999,108.599998,111.769997,110888700,110.719044,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-09-15,113.860001,115.730003,113.489998,115.57,89983600,114.483317,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-09-16,115.120003,116.129997,114.040001,114.919998,79886900,113.839427,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-09-19,115.190002,116.18,113.25,113.580002,47023000,112.51203,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-09-20,113.050003,114.120003,112.510002,113.57,34514300,112.502122,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-09-21,113.849998,113.989998,112.440002,113.550003,36003200,112.482314,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-09-22,114.349998,114.940002,114.0,114.620003,31074000,113.542252,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-09-23,114.419998,114.790001,111.550003,112.709999,52481200,111.650208,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-09-26,111.639999,113.389999,111.550003,112.879997,29869400,111.818608,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
